name,publisher,authors,author_1,author_2,author_3,author_4,author_5,author_6,author_7,author_8,author_9,author_10,author_11,author_12,author_13,author_14
確率論とその応用I下,紀伊國屋書店,W・フェラー,W・フェラー,,,,,,,,,,,,,
確率論とその応用II上,紀伊國屋書店,W・フェラー,W・フェラー,,,,,,,,,,,,,
確率論とその応用II下,紀伊國屋書店,W・フェラー,W・フェラー,,,,,,,,,,,,,
確率統計学,オーム社,須子統太，鈴木誠，浮田善文，小林学，後藤正幸,須子統太,鈴木誠,浮田善文,小林学,後藤正幸,,,,,,,,,
統計学入門,東京大学出版会,東京大学教養学部統計学教室,東京大学教養学部統計学教室,,,,,,,,,,,,,
Probability and Measure,WILEY INTERSCIENCE,Patrick Billingsley,Patrick Billingsley,,,,,,,,,,,,,
入門統計解析法,日科技連,永田靖,永田靖,,,,,,,,,,,,,
統計解析入門,サイエンス社,篠崎信雄，竹内秀一,篠崎信雄,竹内秀一,,,,,,,,,,,,
数理統計学ハンドブック,朝倉書店,豊田秀樹,豊田秀樹,,,,,,,,,,,,,
現代数理統計学,創文社,竹村彰通,竹村彰通,,,,,,,,,,,,,
質的データの解析 調査情報のよみ方,朝倉書店,上田尚一,上田尚一,,,,,,,,,,,,,
数理統計学‐基礎から学ぶデータ解析‐,内田老鶴圃,鈴木武，山田作太郎,鈴木武,山田作太郎,,,,,,,,,,,,
統計的方法のしくみ　正しく理解するための30の急所,日科技連,永田靖,永田靖,,,,,,,,,,,,,
統計学入門,東京書籍,蓑谷千凰彦,蓑谷千凰彦,,,,,,,,,,,,,
データ解析のための統計モデリング入門,岩波書店,久保拓弥,久保拓弥,,,,,,,,,,,,,
確率論,岩波書店,伊藤清,伊藤清,,,,,,,,,,,,,
不完全データの統計解析,エコノミスト社,岩崎学,岩崎学,,,,,,,,,,,,,
Statistical Analysis with Missing Data,WILEY INTERSCIENCE,R. Little，D. Rubin,R. Little,D. Rubin,,,,,,,,,,,,
Directional Statistics,WILEY INTERSCIENCE,K. Mardia，P. Jupp,K. Mardia,P. Jupp,,,,,,,,,,,,
Flexible Imputation of Missing Data,CRC Press,S. Buuren,S. Buuren,,,,,,,,,,,,,
